year,district,crop,yield_kg_per_ha,area_ha,production_tonnes,rainfall_mm,temp_avg_c,temp_min_c,temp_max_c,humidity_pct,soil_pH,soil_organic_C_pct,soil_N_kg,soil_P_kg,soil_K_kg,soil_sand_pct,soil_silt_pct,soil_clay_pct
2010,Nabarangpur,groundnut,1620,1066,1726,1183.5,26.8,20.3,32.4,59.8,7.4,1.17,229.1,17.7,102.0,41.3,45.9,12.8
2010,Nabarangpur,sesame,1371,2771,3799,1102.2,24.8,19.7,28.0,73.2,6.4,0.66,120.3,25.1,123.4,33.3,20.0,46.7
2010,Nuapada,rice,2493,2886,7194,1532.3,26.1,21.7,31.6,60.0,6.7,1.03,261.3,19.0,139.8,36.2,26.7,37.1
2010,Nuapada,maize,1943,2183,4241,1382.7,25.4,18.9,30.1,69.8,6.1,0.2,244.2,27.4,135.9,45.7,40.2,14.1
2010,Nuapada,pulses,809,1735,1403,1358.9,24.5,19.2,28.1,74.7,6.5,0.32,258.2,12.7,109.5,47.0,46.5,6.5
2010,Nuapada,groundnut,1546,2030,3138,1285.8,28.4,23.2,33.0,61.7,6.5,0.48,53.9,24.4,195.2,21.4,24.9,53.7
2010,Nuapada,sesame,1054,3028,3191,1204.2,25.5,20.7,31.9,63.5,6.1,0.66,152.3,21.2,231.2,48.2,32.5,19.3
2010,Nayagarh,rice,2427,1218,2956,1376.6,26.8,22.0,35.0,73.0,6.1,0.67,257.4,21.1,78.1,54.2,28.3,17.5
2010,Nayagarh,maize,2468,2540,6268,1110.5,29.6,24.5,35.5,74.8,6.1,0.61,251.5,16.7,129.8,35.4,39.2,25.4
2010,Nayagarh,pulses,1715,1466,2514,1204.8,29.8,24.9,35.3,59.4,6.7,0.74,249.3,31.9,279.5,50.8,38.3,10.9
2010,Nayagarh,groundnut,1848,1823,3368,1267.7,26.4,21.2,32.7,59.9,7.1,1.2,194.1,5.0,119.6,58.0,34.8,7.2
2010,Nayagarh,sesame,650,1747,1135,1368.1,28.1,23.3,32.7,66.1,6.0,1.28,183.9,32.2,226.1,55.0,30.7,14.3
2010,Puri,rice,2600,1987,5166,1019.3,27.6,23.8,33.8,65.4,6.6,0.88,187.1,25.9,126.3,53.7,21.5,24.8
2010,Puri,maize,2031,2969,6030,999.9,25.6,20.1,30.8,73.5,6.7,0.99,255.5,24.1,137.9,51.7,54.0,0.0
2010,Puri,pulses,1166,1512,1762,1421.4,26.8,24.0,32.6,64.6,6.5,0.9,209.5,27.1,128.2,50.1,32.4,17.5
2010,Puri,groundnut,1984,2307,4577,1012.9,29.2,24.7,35.0,73.7,7.4,0.73,182.5,19.8,134.8,53.0,20.0,27.0
2010,Puri,sesame,636,1466,932,1390.1,30.4,25.5,35.2,70.7,7.1,0.52,211.9,29.8,175.1,46.9,45.0,8.1
2010,Rayagada,rice,1824,2338,4264,1069.2,23.3,17.8,29.7,68.6,7.0,1.28,265.7,36.4,187.1,45.8,20.0,34.2
2010,Rayagada,maize,1938,1578,3058,1634.2,26.6,21.5,32.2,70.4,7.3,0.61,209.7,12.6,84.0,38.9,34.6,26.5
2010,Rayagada,pulses,1092,1653,1805,918.7,26.8,23.3,32.6,70.8,5.8,0.71,162.4,23.2,217.0,26.2,36.2,37.6
2010,Rayagada,groundnut,1759,2335,4107,1242.6,25.5,20.8,29.7,80.8,6.5,1.37,197.0,12.9,74.3,27.0,20.0,53.0
2010,Rayagada,sesame,966,2254,2177,883.8,28.8,24.3,33.9,86.1,6.9,0.72,155.4,5.0,114.0,42.9,25.1,32.0
2010,Sambalpur,rice,2467,2038,5027,1155.0,25.7,20.5,31.1,59.1,7.2,0.77,200.9,27.1,161.7,54.5,37.9,7.6
2010,Sambalpur,maize,1846,2180,4024,971.3,27.2,22.2,32.0,68.7,5.6,0.64,204.6,21.6,98.6,57.7,26.3,16.0
2010,Sambalpur,pulses,1442,2213,3191,1070.8,30.6,26.8,36.5,80.0,6.2,1.22,187.5,22.9,163.0,43.7,43.1,13.2
2010,Sambalpur,groundnut,1998,1125,2247,1460.9,23.7,17.7,29.8,59.1,6.3,0.47,189.3,16.9,189.0,58.1,49.0,0.0
2010,Sambalpur,sesame,759,1895,1438,863.3,25.4,19.4,32.0,57.7,6.2,0.79,214.0,11.9,171.2,40.3,34.9,24.8
2010,Sonepur,rice,2636,2003,5279,1112.7,26.8,21.9,31.4,67.4,7.3,0.97,185.2,27.0,133.3,56.7,38.7,4.6
2010,Sonepur,maize,1973,2223,4385,885.8,24.7,20.9,29.8,87.3,7.6,0.99,225.0,5.0,122.9,37.1,28.8,34.1
2010,Sonepur,pulses,1157,1763,2039,804.1,28.5,24.6,33.7,90.0,6.0,0.2,185.7,31.0,247.9,32.7,40.0,27.3
2010,Sonepur,groundnut,1683,1947,3276,1728.9,24.0,18.7,29.5,80.9,6.5,0.89,180.4,22.7,132.8,51.2,31.3,17.5
2010,Sonepur,sesame,994,1985,1973,1425.2,26.9,23.7,33.2,60.9,6.2,0.62,268.7,5.0,300.0,55.6,37.2,7.2
2010,Sundargarh,rice,2486,2142,5325,1304.2,28.3,22.7,33.4,68.0,6.4,0.74,256.7,25.9,50.0,51.6,36.9,11.5
2010,Sundargarh,maize,1995,1805,3600,1424.8,28.9,24.7,34.3,60.3,5.8,0.61,243.1,29.5,175.7,52.3,40.2,7.5
2010,Sundargarh,pulses,1039,2215,2301,1360.1,28.5,22.3,34.2,73.5,7.0,0.79,155.9,18.4,112.8,38.2,33.6,28.2
2010,Sundargarh,groundnut,1601,1846,2955,821.3,27.4,22.4,31.6,76.6,7.0,0.32,161.9,12.3,103.0,53.3,33.1,13.6
2010,Sundargarh,sesame,833,998,831,1327.1,24.5,19.4,29.8,83.6,5.8,0.2,209.2,38.0,211.9,47.1,30.1,22.8
2010,Bhawanipatna,rice,2701,1513,4086,1295.3,28.0,21.9,35.8,73.9,6.2,0.79,111.5,13.1,129.5,39.8,36.5,23.7
2010,Bhawanipatna,maize,1794,2560,4592,1200.0,27.0,22.3,32.2,78.3,6.1,0.6,184.8,6.5,109.0,40.2,43.7,16.1
2010,Bhawanipatna,pulses,1265,2096,2651,1370.2,26.7,21.3,31.6,72.7,6.2,0.2,193.3,34.2,196.3,54.7,47.4,0.0
2010,Bhawanipatna,groundnut,1822,2098,3822,1076.5,26.4,20.8,32.6,68.6,6.3,0.8,230.1,5.6,50.0,39.5,22.8,37.7
2010,Bhawanipatna,sesame,772,1926,1486,1109.4,29.9,24.6,35.2,76.2,5.9,1.11,196.2,26.7,96.4,29.5,43.2,27.3
2011,Angul,rice,2594,1548,4015,1026.1,29.3,25.5,35.9,61.0,6.8,0.7,230.2,14.6,141.9,45.4,25.0,29.6
2011,Angul,maize,2185,1743,3808,1154.3,25.0,22.6,29.8,90.0,6.9,0.79,186.9,20.2,177.4,33.2,46.1,20.7
2011,Angul,pulses,1378,2359,3250,1287.7,27.0,21.3,32.6,66.5,6.2,0.83,277.5,7.6,76.6,46.6,35.5,17.9
2011,Angul,groundnut,1843,2121,3909,1155.4,30.0,26.6,34.2,69.0,5.7,0.75,283.1,20.2,161.5,32.4,28.8,38.8
2011,Angul,sesame,806,1841,1483,1456.3,28.1,24.2,33.3,75.0,7.1,1.27,149.2,11.9,87.1,42.7,39.7,17.6
2011,Balangir,rice,2746,1962,5387,1136.0,27.3,23.1,34.4,53.9,6.6,1.41,200.3,18.1,132.1,43.2,48.7,8.1
2011,Balangir,maize,1447,2766,4002,915.2,26.5,21.9,32.1,54.0,6.7,1.41,131.8,21.9,116.9,49.3,35.2,15.5
2011,Balangir,pulses,1039,2243,2330,1560.9,26.6,20.9,30.3,60.4,6.7,1.25,217.8,16.9,150.0,32.5,41.0,26.5
2011,Balangir,groundnut,2020,1773,3581,1106.0,27.5,22.9,32.4,90.0,6.4,0.69,167.6,27.4,140.9,38.5,48.2,13.3
2011,Balangir,sesame,1254,1699,2130,826.7,29.0,24.7,34.8,50.3,6.9,0.44,236.5,20.1,102.3,40.9,41.9,17.2
2011,Bargarh,rice,2526,2292,5789,1595.3,23.9,17.3,29.0,61.0,5.8,0.74,246.1,18.7,225.6,30.5,34.9,34.6
2011,Bargarh,maize,1686,2181,3677,1377.4,26.2,23.8,31.4,74.4,6.7,1.17,146.4,26.8,209.6,27.2,38.2,34.6
2011,Bargarh,pulses,1073,1959,2102,1269.5,26.0,21.7,31.0,59.1,6.0,1.0,142.6,26.7,173.1,27.7,28.2,44.1
2011,Bargarh,groundnut,2098,1509,3165,1107.1,27.9,22.1,32.6,64.0,7.2,1.32,248.9,20.9,109.6,36.7,40.2,23.1
2011,Bargarh,sesame,1004,2700,2710,1330.1,24.0,17.9,28.0,66.2,6.6,1.4,355.5,26.1,140.8,50.3,43.9,5.8
2011,Bhadrak,rice,2419,2897,7007,1246.0,28.0,22.3,33.4,78.4,6.2,0.63,145.0,24.4,188.9,49.6,51.7,0.0
2011,Bhadrak,maize,1998,2334,4663,981.7,26.2,20.5,32.0,67.1,6.5,0.34,182.1,28.9,178.8,50.0,35.5,14.5
2011,Bhadrak,pulses,1201,1669,2004,1339.8,27.8,22.3,32.3,50.0,7.0,0.66,156.9,26.9,130.4,55.6,41.2,3.2
2011,Bhadrak,groundnut,1970,1317,2594,1442.4,27.5,22.9,32.6,52.2,6.7,0.49,132.4,5.0,205.6,38.7,50.3,11.0
2011,Bhadrak,sesame,766,1146,877,976.7,29.5,24.7,34.0,71.6,6.8,1.14,272.4,16.4,83.7,40.9,37.6,21.5
2011,Boudh,rice,2259,1521,3435,1268.8,26.9,21.9,31.1,67.7,6.0,1.07,251.8,5.0,103.5,30.0,28.5,41.5
2011,Boudh,maize,1979,1275,2523,1015.6,25.0,19.8,30.1,62.8,6.6,0.64,186.4,36.7,217.0,32.0,43.3,24.7
2011,Boudh,pulses,1402,1425,1997,1363.8,30.1,26.2,34.2,80.2,6.6,0.97,217.0,23.9,83.7,55.5,46.7,0.0
2011,Boudh,groundnut,1742,1978,3445,893.8,28.0,22.4,32.9,81.2,6.3,0.97,149.0,19.8,141.3,47.3,31.3,21.4
2011,Boudh,sesame,867,2413,2092,1112.6,23.8,17.1,30.2,57.1,6.8,0.65,213.2,22.9,138.3,37.2,28.1,34.7
2011,Cuttack,rice,2270,1584,3595,1186.6,25.6,19.9,32.1,64.2,6.6,0.95,223.6,20.8,187.1,49.8,22.6,27.6
2011,Cuttack,maize,2217,2443,5416,1047.3,27.1,21.4,31.9,80.7,7.7,0.56,130.9,23.0,186.1,42.7,49.5,7.8
2011,Cuttack,pulses,865,2346,2029,1078.8,30.4,23.4,34.6,64.5,6.9,0.68,197.7,20.3,54.0,44.9,28.1,27.0
2011,Cuttack,groundnut,1676,2721,4560,948.7,28.6,23.9,33.3,77.9,6.7,0.97,248.4,16.7,119.4,34.1,26.7,39.2
2011,Cuttack,sesame,1637,2622,4292,929.8,24.4,18.9,29.9,75.5,6.4,0.76,216.4,20.9,50.0,42.7,26.5,30.8
2011,Deogarh,rice,2543,3492,8880,1273.5,26.4,20.5,31.9,74.2,6.8,1.42,143.5,24.7,103.7,50.6,25.8,23.6
2011,Deogarh,maize,1895,1852,3509,1395.2,28.8,25.0,33.9,62.9,5.9,0.73,184.6,44.3,171.6,31.2,29.4,39.4
2011,Deogarh,pulses,1455,3044,4429,882.8,23.2,16.3,28.6,61.3,6.8,0.2,200.2,23.3,196.2,34.9,35.9,29.2
